baseMean	log2FoldChange	lfcSE	pvalue	padj
FBGN0038542	50.4791467935373	-0.261727581174281	0.393055476670946	0.240747002999182	0.381303864797028
FBGN0039592	47.8268273614991	-1.88909037259398	0.63365960273006	0.00014494813985098	0.000628695440595211
FBGN0038067	26.103472329056	-0.441451123495363	0.594107608794388	0.0699301982628623	0.146161398950295
FBGN0039602	3347.1017857414	0.136101741765219	0.0842119961560761	0.0987982575013596	0.193237547305261
FBGN0264897	6.30033589226076	-0.0494934430739687	0.408156832400446	0.621758223490329	NA
FBGN0038565	42.2934346408749	-0.0699066406260319	0.412399476955132	0.488369368774257	0.630939262884318
FBGN0039331	23.4739411031607	-0.141642130838051	0.4042102950019	0.397702643642692	0.548296534763587
FBGN0019972	5658.51373816647	0.0704803161252271	0.0661296016990024	0.280992642224978	0.426952063401999
FBGN0046873	4.70498075583191	-0.0748879678415025	0.414537913133022	0.446713753835405	NA
FBGN0038756	10.1709440884445	-0.0877315456589755	0.407363464124332	0.493302874933292	0.635397431133394
FBGN0039627	1395.83152543435	-0.333210579167842	0.113425300780675	0.00222751055101006	0.00757388935302444
FBGN0039436	39.9273711537276	-0.168406584406318	0.397481788791573	0.370949625379315	0.521365298335681
FBGN0051092	14813.5268883515	0.639003495580144	0.052902138645724	4.72325833707963e-34	2.32652142457838e-32
FBGN0039089	46.7168074764327	-0.42629192208401	0.562620363087206	0.0795950033836991	0.16257918072781
FBGN0064119	54.8844357234313	-0.241616800797697	0.406675782097611	0.25576636965171	0.398405801621219
FBGN0250820	2327.12526171059	-0.0647985439552049	0.0981944392294434	0.496539178161434	0.637904234480204
FBGN0284229	2.87640777111583	-0.0963978469395966	0.432602774570009	0.051239954405146	NA
FBGN0038886	47.6882726578642	-0.16335249908775	0.383014598830721	0.405602357250367	0.555316709777499
FBGN0038243	76.2812306556911	-0.125364082767217	0.312122504232829	0.554597450819781	0.686756388724629
FBGN0283468	7619.89047783904	0.20021447747267	0.0658669167566353	0.00206945584603825	0.00708331319400099
FBGN0038598	164.11425983484	0.145201832382455	0.245183741321368	0.467856516083204	0.612376641291557
