Geneid	RpS12_C_RNA	RpS12_B_RNA	RpS12_A_RNA	Xrp1_C_RNA	Xrp1_B_RNA	Xrp1_A_RNA
FBGN0267408	114	110	807	138	103	75
FBGN0000047	5	26	17	58	21	11
FBGN0039343	8	22	12	36	39	4
FBGN0038196	2595	2601	2515	2623	2908	2834
FBGN0250846	5	16	26	18	4	18
FBGN0039727	10223	10423	10638	10284	10924	10445
FBGN0040608	34	0	5	9	4	2
FBGN0267652	0	0	0	0	0	0
FBGN0052939	1040	1125	1295	795	853	529
FBGN0038028	2	19	22	8	17	9
FBGN0003117	5041	4797	4647	3113	5125	5279
FBGN0051140	826	1144	1023	1433	1593	1826
FBGN0037224	17	50	15	24	20	40
FBGN0004913	8650	9111	8609	9023	9846	10215
FBGN0037297	2244	2582	2211	2203	2226	2426
FBGN0039626	2967	2934	3028	2623	3182	3175
FBGN0263118	70	56	79	97	64	34
FBGN0038275	1640	1904	2152	1828	2439	2309
FBGN0039475	28	261	1697	16	53	24
FBGN0039304	1001	1027	1199	1044	1149	980
FBGN0038167	2819	2555	2841	1964	2509	2412
FBGN0038922	3759	3867	3493	3166	3798	3813
FBGN0037838	1083	1000	824	658	847	1013
FBGN0051019	0	0	54	26	46	18
FBGN0051004	90	318	712	158	78	97
FBGN0037689	2826	3387	3421	2753	2770	2887
FBGN0037974	190	347	510	112	132	219
FBGN0039153	1408	1237	1379	807	1131	1007
FBGN0038057	1236	1260	1142	1029	1146	1284
FBGN0051157	517	511	462	167	141	134
FBGN0046886	14	19	0	48	11	8
FBGN0038968	11780	10740	11432	10142	12289	11750
FBGN0039342	5	13	27	7	4	3
FBGN0045469	8	79	16	13	19	11
FBGN0051321	67	49	128	103	49	74
FBGN0037670	1966	1930	2034	2328	2307	2560
FBGN0039064	66	61	67	86	44	75
FBGN0016754	8628	10732	10313	8119	9573	9084
FBGN0039490	42	121	42	154	94	87
FBGN0003065	31	5	113	45	11	9
FBGN0038131	8	0	13	12	21	5
FBGN0259212	35220	36805	35899	27643	29406	29436
FBGN0053333	13	16	0	7	37	13
FBGN0038359	0	32	18	36	20	8
FBGN0083969	4559	4868	4823	3869	4101	4241
FBGN0001255	6713	9503	7561	3096	4868	3699
FBGN0039200	30	24	14	50	25	8
FBGN0039466	12836	13371	12787	10343	11358	12151
FBGN0262483	79	101	119	169	104	81
FBGN0039740	2201	2088	2487	1787	2051	2082
FBGN0051523	3178	3723	4074	3097	3752	3661
FBGN0037912	2709	3238	3243	2941	2961	3262
FBGN0039234	11889	12281	11685	11079	11842	12071
FBGN0039128	952	725	705	541	631	603
FBGN0039510	120	175	191	194	183	109
FBGN0288846	4438	5023	4762	2944	3484	3122
FBGN0039348	7492	7742	7622	7318	8220	8511
FBGN0039680	14888	15255	14416	13427	13755	15098
FBGN0038200	0	0	2	2	0	2
FBGN0039424	24	0	18	24	9	46
FBGN0037415	4	14	4	19	36	7
FBGN0037506	13	47	10	27	14	3
FBGN0266178	0	0	0	0	0	0
FBGN0085382	22	34	47	64	22	39
FBGN0051288	8	34	203	22	16	15
FBGN0039792	2	62	2	50	4	20
FBGN0037755	2001	2133	2264	2382	2423	2425
FBGN0039411	2032	2442	2459	1869	1985	2018
FBGN0053512	1	6	9	39	14	24
FBGN0260226	801	671	354	454	433	720
FBGN0038160	25	38	10	18	23	0
FBGN0038869	2378	1989	1927	1683	1515	2067
