ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0046364	monosaccharide biosynthetic process	9/219	35/12678	0.257142857142857	14.8861056751468	10.9063173071464	5.55585308462013e-09	7.27816754085237e-06	6.54421010704203e-06	Mdh2/Pglym78/smp-30/Gnmt/Sodh1/Pepck1/Got1/PCB/Gapdh1	9
GO:0019319	hexose biosynthetic process	8/219	33/12678	0.242424242424242	14.0340390203404	9.93951697128866	6.67985435492439e-08	4.37530460247548e-05	3.93408264376863e-05	Mdh2/Pglym78/Gnmt/Sodh1/Pepck1/Got1/PCB/Gapdh1	8
GO:0006094	gluconeogenesis	7/219	29/12678	0.241379310344828	13.9735474728389	9.27295938640212	4.710824671927e-07	0.000205706010674146	0.000184961852908292	Mdh2/Pglym78/Gnmt/Pepck1/Got1/PCB/Gapdh1	7
GO:0016051	carbohydrate biosynthetic process	9/219	59/12678	0.152542372881356	8.83074065474809	7.99291300595414	6.90155406306786e-07	0.000226025895565472	0.000203232605172972	Mdh2/Pglym78/smp-30/Gnmt/Sodh1/Pepck1/Got1/PCB/Gapdh1	9
GO:0022613	ribonucleoprotein complex biogenesis	19/219	324/12678	0.058641975308642	3.39480805005919	5.78932759973373	3.4385627337388e-06	0.000754035031137978	0.000677995339367937	CG4553/RpL34a/Rheb/RpL24-like/Rrp5/Prp6/NHP2/Nop60B/Ns2/fand/RpS19a/CG8611/U2af50/CG11417/RpS28b/CG2260/CG1785/RpS13/CG7102	19
GO:0002181	cytoplasmic translation	12/219	134/12678	0.0895522388059701	5.18421590676753	6.45560831556803	3.45359556246402e-06	0.000754035031137978	0.000677995339367937	RpL34a/RpL24-like/RpS4/RpL10Ab/RpS11/RpL11/RpLP2/RpS15/RpS19a/RpL37-1/RpS28b/RpS13	12
GO:0042254	ribosome biogenesis	15/219	222/12678	0.0675675675675676	3.91151425398001	5.80222836391847	7.10225611611905e-06	0.00132913650173085	0.00119510144269733	CG4553/RpL34a/Rheb/RpL24-like/Rrp5/NHP2/Nop60B/Ns2/RpS19a/CG8611/CG11417/RpS28b/CG2260/CG1785/RpS13	15
GO:0043648	dicarboxylic acid metabolic process	7/219	44/12678	0.159090909090909	9.20983810709838	7.23234616542456	9.28124870876617e-06	0.00151980447606046	0.00136654175067228	Mdh2/Dhfr/Gabat/CG7430/Pepck1/Got1/CG8665	7
GO:0055086	nucleobase-containing small molecule metabolic process	18/219	326/12678	0.0552147239263804	3.1964030590806	5.32648745025885	1.4308766416354e-05	0.00208272044504709	0.00187269118361406	Mdh2/Pglym78/Gnmt/ATPsynO/Gale/Ctps/AcCoAS/Prps/Gmppa/CG11883/Got1/Gapdh1/CG12177/Paics/su(r)/dUTPase/Uch/Pfas	18
GO:0005996	monosaccharide metabolic process	10/219	109/12678	0.091743119266055	5.31104687696368	5.99286287821036	1.84938484519111e-05	0.00242269414720035	0.00217838067554616	Mdh2/Pglym78/smp-30/Gnmt/Sodh1/Gale/Pepck1/Got1/PCB/Gapdh1	10
GO:0005975	carbohydrate metabolic process	15/219	255/12678	0.0588235294117647	3.40531829170024	5.14420315285191	3.6631830169214e-05	0.00436251795651549	0.00392258545065555	beta4GalNAcTB/Mdh2/Pglym78/smp-30/Gnmt/Sodh1/Gale/Gabat/Pepck1/Idgf5/Got1/PCB/Gapdh1/Cda5/Uch	15
GO:0019318	hexose metabolic process	9/219	97/12678	0.0927835051546392	5.37127524360966	5.72961115175423	4.45066587460106e-05	0.00485864357977282	0.00436867992427946	Mdh2/Pglym78/Gnmt/Sodh1/Gale/Pepck1/Got1/PCB/Gapdh1	9
GO:0140694	membraneless organelle assembly	14/219	234/12678	0.0598290598290598	3.46352886078913	5.04282958022598	5.56010955138622e-05	0.00560287962485842	0.00503786444372565	CG4553/Mlc2/Tm2/Rcc1/cnn/LSm1/DCP1/dgt3/RpS19a/RpS28b/wupA/CG1785/Mhc/bt	14
GO:0009117	nucleotide metabolic process	12/219	186/12678	0.0645161290322581	3.7348652231551	4.98155721527882	9.3020734000189e-05	0.00870408296716055	0.00782633092828658	Mdh2/Pglym78/ATPsynO/Ctps/Prps/CG11883/Got1/Gapdh1/Paics/dUTPase/Uch/Pfas	12
GO:0006006	glucose metabolic process	7/219	66/12678	0.106060606060606	6.13989207139892	5.5503797252022	0.000136746842725053	0.0119425575979879	0.010738225755041	Mdh2/Pglym78/Gnmt/Pepck1/Got1/PCB/Gapdh1	7
GO:0006753	nucleoside phosphate metabolic process	15/219	291/12678	0.0515463917525773	2.98404180200537	4.53944703754043	0.000161954311239664	0.0132600092327475	0.0119228206761306	Mdh2/Pglym78/ATPsynO/Gale/Ctps/AcCoAS/Prps/Gmppa/CG11883/Got1/Gapdh1/Paics/dUTPase/Uch/Pfas	15
GO:0006414	translational elongation	5/219	31/12678	0.161290322580645	9.33716305788776	6.16160839229183	0.000173079632325909	0.0133373128439377	0.0119923287041914	CG3909/eEFSec/eEF1alpha1/RpLP2/mEFTu1	5
GO:0016071	mRNA metabolic process	20/219	474/12678	0.0421940928270042	2.44263337379342	4.24407212612135	0.000210425221808693	0.0151097400163052	0.0135860177406553	CG1965/SF2/CG3909/Rrp5/lost/Prp6/Pep/Tdrd3/Nop60B/Upf3/Ars2/LSm1/DCP1/fand/tsu/Bx42/U2af50/U2af38/CG10333/CG7102	20
GO:0009124	nucleoside monophosphate biosynthetic process	4/219	18/12678	0.222222222222222	12.8645357686454	6.67819135958278	0.000219148900999847	0.0151097400163052	0.0135860177406553	Prps/Paics/dUTPase/Pfas	4
GO:0003012	muscle system process	5/219	37/12678	0.135135135135135	7.82302850796002	5.51031012352303	0.000408187714051259	0.0267362952703575	0.0240401080012294	Mlc2/Tm2/Mlc1/wupA/Mhc	5
