ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0009620	response to fungus	3/13	58/12678	0.0517241379310345	50.4429708222812	12.091110812193	2.51570927794489e-05	0.00722008562770184	0.00511086200677225	Fer1HCH/CtsK1/Spn27A	3
GO:0042440	pigment metabolic process	3/13	112/12678	0.0267857142857143	26.1222527472527	8.55551955931854	0.000179968289506998	0.0240937477996879	0.0170551744923519	LanA/Hexo1/Spn27A	3
GO:0072376	protein activation cascade	2/13	27/12678	0.0740740740740741	72.2393162393162	11.8717986138757	0.000335801363061852	0.0240937477996879	0.0170551744923519	CtsK1/Spn27A	2
GO:0160032	Toll receptor ligand protein activation cascade	2/13	27/12678	0.0740740740740741	72.2393162393162	11.8717986138757	0.000335801363061852	0.0240937477996879	0.0170551744923519	CtsK1/Spn27A	2
GO:0035011	melanotic encapsulation of foreign target	2/13	32/12678	0.0625	60.9519230769231	10.8787461589752	0.000473152202629832	0.0271589364309524	0.0192249210752753	LanA/Spn27A	2
GO:0035010	encapsulation of foreign target	2/13	41/12678	0.048780487804878	47.5722326454034	9.56917105900518	0.00077816589733647	0.0372222687559278	0.0263484242431471	LanA/Spn27A	2
GO:0050832	defense response to fungus	2/13	47/12678	0.0425531914893617	41.4991816693944	8.91155790874514	0.00102229670785414	0.0419141650220197	0.0296696638520074	CtsK1/Spn27A	2
GO:0030155	regulation of cell adhesion	2/13	53/12678	0.0377358490566038	36.8011611030479	8.3675184295221	0.00129865424775191	0.0465892211380999	0.032978982870542	LanA/Flo1	2
GO:0035006	melanization defense response	2/13	57/12678	0.0350877192982456	34.2186234817814	8.05284798377011	0.00150062663736959	0.047853316102786	0.0338737942704482	LanA/Spn27A	2
GO:0006582	melanin metabolic process	2/13	62/12678	0.032258064516129	31.4590570719603	7.70244815010797	0.00177286504078173	0.0508812266704356	0.0360171529337762	LanA/Spn27A	2
GO:0018958	phenol-containing compound metabolic process	2/13	78/12678	0.0256410256410256	25.0059171597633	6.81330226101516	0.00278947273245179	0.0727798794739694	0.0515184916137029	LanA/Spn27A	2
GO:0019748	secondary metabolic process	2/13	91/12678	0.021978021978022	21.4336432797971	6.26733215152986	0.00377535062546017	0.0902938024589223	0.0639160237468256	LanA/Spn27A	2
