baseMean	log2FoldChange	lfcSE	pvalue	padj
FBGN0038542	61.8640953744233	-0.123752985355389	0.260245038304362	0.0973890610870008	0.244865309025013
FBGN0039592	38.1477717943383	-0.14169244624294	0.285615390102879	0.0250031100274858	0.090570205079857
FBGN0038067	14.6115172927099	0.00183014164439766	0.219650324668393	0.96999496044042	NA
FBGN0039602	3460.41500892817	0.0214150534375253	0.0804963387729867	0.77646830965184	0.888824118045755
FBGN0264897	4.80865360840373	-0.000707273085561753	0.223012330858325	0.969273588327976	NA
FBGN0038565	32.084598319339	-0.0172448613532816	0.220717765871491	0.684001992138952	0.832361596115166
FBGN0039331	24.1225540636706	-0.0467647176513229	0.224579625699233	0.371110554583496	NA
FBGN0019972	5593.24701553002	0.0786978909285028	0.0708631474835937	0.242325684940607	0.455204881967585
FBGN0046873	3.16808288268505	-0.00352304723837509	0.222930041320881	0.873331527874969	NA
FBGN0038756	7.37526943373693	-0.00069502800069778	0.222354811564839	0.97564526609891	NA
FBGN0039627	1020.97152539785	0.482126691738005	0.175062628210767	0.000841422722635375	0.00621840915631845
FBGN0039436	27.3791663222732	0.0125298708391175	0.221044861246073	0.752214019559197	0.87336318424535
FBGN0051092	19221.4989876055	-0.181817358534842	0.0543098606742092	0.000508802846061217	0.00415844524953832
FBGN0039089	22.8135906122352	0.0397555396053634	0.222387557573647	0.457615855289048	NA
FBGN0064119	41.3208502542585	0.000580249460139511	0.216711778934729	0.995474485548107	0.997479789159768
FBGN0250820	2079.21148643052	0.203078730090143	0.115457948442259	0.0421766929891618	0.134470629492408
FBGN0284229	0.618006417483373	-0.00894871006850406	0.224225960377211	0.498267320369221	NA
FBGN0038886	32.1875943002668	0.0336394113065489	0.221517672777426	0.512969378476799	0.711792535877084
FBGN0038243	62.9548225421136	0.0347221598272398	0.213291307647822	0.64228067308901	0.80603992116806
FBGN0283468	8129.95551510382	-0.00764797637253267	0.0665474095599313	0.90295716197991	0.956557059037332
FBGN0038598	123.096490728834	0.997140430124844	0.466471907525375	0.00135901777624819	0.00927103219829234
FBGN0038407	194.834889758539	-0.0716883869252142	0.212892341209023	0.440001800601807	0.654179147659451
FBGN0038627	523.771715973103	0.501206131062645	0.222909576804928	0.00287726874540959	0.016873078315598
FBGN0027654	76.7659713937543	0.0328688449443445	0.213020715459634	0.659384701685208	0.816658009804906
FBGN0037236	4189.52401970098	0.294863354620337	0.0876102361659566	0.000282296459869904	0.00254142227006654
FBGN0003890	1985.42331907876	2.64110241106841	0.1615183393587	2.39940442277777e-61	2.42579787142832e-58
FBGN0000463	15430.3849199804	-0.0430816892239849	0.0589942095116179	0.430786558013045	0.646923619540918
FBGN0039761	9.44539826315752	-0.0132692994153731	0.222877764611428	0.632355441371243	NA
FBGN0051415	26.8586580930272	0.0340838426254154	0.221991461521127	0.495475390108688	NA
