Geneid	RpS3_Xrp1_C_RNA	RpS3_Xrp1_B_RNA	RpS3_Xrp1_A_RNA	Xrp1_C_RNA	Xrp1_B_RNA	Xrp1_A_RNA
FBGN0250846	21	44	20	18	4	18
FBGN0039727	9369	9027	7026	10284	10924	10445
FBGN0040608	1	0	6	9	4	2
FBGN0267652	0	0	0	0	0	0
FBGN0052939	1519	1363	1164	795	853	529
FBGN0038028	32	22	33	8	17	9
FBGN0003117	4539	4271	3829	3113	5125	5279
FBGN0051140	726	744	705	1433	1593	1826
FBGN0037224	120	65	59	24	20	40
FBGN0004913	8228	9012	6599	9023	9846	10215
FBGN0037297	2971	2937	2218	2203	2226	2426
FBGN0039626	3679	3800	3085	2623	3182	3175
FBGN0263118	103	90	87	97	64	34
FBGN0038275	2203	2626	1962	1828	2439	2309
FBGN0039475	25	29	13	16	53	24
FBGN0039304	1356	1674	1033	1044	1149	980
FBGN0038167	2037	2176	1604	1964	2509	2412
FBGN0038922	5010	5000	4205	3166	3798	3813
FBGN0037838	1040	970	717	658	847	1013
FBGN0051019	61	129	45	26	46	18
FBGN0051004	278	213	184	158	78	97
FBGN0037689	2987	2798	2443	2753	2770	2887
FBGN0037974	676	421	462	112	132	219
FBGN0039153	1126	1053	792	807	1131	1007
FBGN0038057	1267	1700	1127	1029	1146	1284
FBGN0051157	146	271	239	167	141	134
FBGN0046886	19	61	20	48	11	8
FBGN0038968	13206	13734	10262	10142	12289	11750
FBGN0039342	28	26	2	7	4	3
FBGN0045469	34	62	44	13	19	11
FBGN0051321	73	171	106	103	49	74
FBGN0037670	2562	2606	1896	2328	2307	2560
FBGN0039064	137	78	71	86	44	75
FBGN0016754	7048	6365	5199	8119	9573	9084
FBGN0039490	75	109	60	154	94	87
FBGN0003065	10	10	11	45	11	9
FBGN0038131	41	3	31	12	21	5
FBGN0259212	26000	23694	19148	27643	29406	29436
FBGN0053333	1063	1627	1111	7	37	13
FBGN0038359	51	40	36	36	20	8
FBGN0083969	4424	4216	2934	3869	4101	4241
FBGN0001255	6963	7942	5941	3096	4868	3699
FBGN0039200	38	26	27	50	25	8
FBGN0039466	9312	10184	7900	10343	11358	12151
FBGN0262483	200	193	96	169	104	81
FBGN0039740	2944	2906	2246	1787	2051	2082
FBGN0051523	3873	3972	3302	3097	3752	3661
FBGN0037912	2982	3040	2394	2941	2961	3262
FBGN0039234	12938	12492	9275	11079	11842	12071
FBGN0039128	905	1114	649	541	631	603
FBGN0039510	257	401	320	194	183	109
FBGN0288846	4678	4869	4150	2944	3484	3122
FBGN0039348	8724	8368	6657	7318	8220	8511
FBGN0039680	11513	12238	9616	13427	13755	15098
FBGN0038200	4	2	20	2	0	2
FBGN0039424	45	89	69	24	9	46
FBGN0037415	35	17	27	19	36	7
FBGN0037506	14	34	30	27	14	3
