baseMean	log2FoldChange	lfcSE	pvalue	padj
FBGN0038542	44.7314914856418	-0.206457674083809	0.375222608145269	0.331728155157023	0.490675892821063
FBGN0039592	21.657297660434	-0.150683011060534	0.410474271865901	0.359190098165187	0.521563082528426
FBGN0038067	18.6423413907507	-0.167624161865384	0.408205409067698	0.344840493158887	0.505323446114381
FBGN0039602	3156.17935599879	0.0705899620328456	0.0711340311907874	0.313999963755686	0.471862131726478
FBGN0264897	3.25994882689593	0.0323944862520125	0.410993363810321	0.67260380885766	NA
FBGN0038565	27.7429961560882	-0.0439709210999031	0.384970551759399	0.768680528849659	0.865019614028115
FBGN0039331	18.2374488036956	-0.0577302318028657	0.381824849600158	0.716275478782655	0.830596476738192
FBGN0019972	5321.15691477755	0.0120671568135105	0.0635722658127225	0.848821994237232	0.916367455455981
FBGN0046873	4.0316883556507	-0.0664640037023138	0.411245022567477	0.502594966088138	NA
FBGN0038756	7.09235875047272	-0.0117445934150407	0.399008300356359	0.914953164922033	NA
FBGN0039627	1405.81586763273	-0.556462403508871	0.102570361190315	2.21561097159584e-08	1.57476913398584e-07
FBGN0039436	28.6060729276494	0.0016909528671898	0.360498936400884	0.99523088165443	0.997748475475781
FBGN0051092	14453.3706220554	0.437355381763023	0.0470571202791587	8.31068856208475e-21	1.87283811066745e-19
FBGN0039089	22.3718982927798	0.112830355950133	0.3810260135168	0.532579087584561	0.682323059866789
FBGN0064119	39.0926818817518	-0.0132230890759556	0.351735712918813	0.938788589060523	0.968350064019408
FBGN0250820	2134.33080983218	-0.0533658061252472	0.0933052525645001	0.556465705508048	0.70398758437873
FBGN0284229	2.59026536144527	-0.0761565718927532	0.425868130345648	0.0786917356943639	NA
FBGN0038886	36.5168906661797	-0.0162294786289818	0.361402190511721	0.926221686672847	0.961248858873563
FBGN0038243	74.4083780166451	-0.211226714119138	0.32342933176261	0.336358500293922	0.495722816378621
FBGN0283468	7404.08506174374	0.0435564650011668	0.0594399958404267	0.459738750657432	0.619943383938268
FBGN0038598	141.639385294229	0.299760611899037	0.27011897275531	0.158693538679004	0.282550711082539
FBGN0038407	218.251172048096	-0.648571505093101	0.312499088919187	0.00860298068648416	0.0236654037888374
FBGN0038627	571.284508930275	0.0791746581009247	0.145251169263855	0.561617334046663	0.708603361532363
FBGN0027654	91.327348764461	-0.212191118166056	0.330711215314291	0.335778573121419	0.495069883527196
