Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
FBGN0038542	3.30394133852615	-0.0387412230233749	1.96819191031508	-0.0196836613443721	0.984295724614286	NA
FBGN0039592	2.03025581477755	1.19564710194431	2.34611895827169	0.509627654526566	0.610312345749409	NA
FBGN0038067	1.36622227373508	0.202639342726356	2.19030492521788	0.0925164986816611	0.926287683385866	NA
FBGN0039602	355.864153973282	0.0771254844136629	0.224715633526459	0.343213701705279	0.731437697573001	0.849332105820557
FBGN0264897	0.243475767271201	-1.55258253748751	5.54786779050756	-0.279852115463889	0.779590966114187	NA
FBGN0038565	2.03938397851933	-0.297208206238774	3.00605766708487	-0.0988697620451813	0.921241677635856	NA
FBGN0039331	1.34813877940024	-0.263340250459649	2.40241773956678	-0.109614679463338	0.912714968286571	NA
FBGN0019972	886.269021046706	0.353091255992802	0.134436605822853	2.62645173040198	0.0086280228803683	0.0374336437497116
FBGN0046873	0.296463518645455	0.506169761270611	3.22180289659368	0.157107612574863	0.875160038123273	NA
FBGN0038756	3.32848429003729	0.658023907948762	2.23355159513171	0.294608778853823	0.768292755123428	NA
FBGN0039627	279.618966405534	0.53966284320064	0.198730711224047	2.71554829083377	0.00661661260116515	0.0303465024026851
FBGN0039436	2.11948412825172	-0.600422217370862	2.17224527243905	-0.276406271883235	0.782236040034752	NA
FBGN0051092	1856.60320548406	-0.173527480274179	0.11781675312999	-1.47285912796053	0.140789024900869	0.295086134074508
FBGN0039089	5.22729333118448	1.56217695056543	1.78244989320066	0.876421242765095	0.380801074210334	0.5776008214868
FBGN0064119	2.86755666620383	-0.526967823857401	2.10946027320532	-0.249811684320878	0.80273298339945	NA
FBGN0250820	301.656452153354	0.553990310753441	0.229832327863701	2.41041073683062	0.0159345700493427	0.0598751593423263
FBGN0284229	0.191745238686389	4.29399571055091	6.13156969290337	0.700309370293996	0.483734121185455	NA
FBGN0038886	2.71096854369602	-0.547018196417298	2.25151508445938	-0.242955599184291	0.808039793695664	NA
FBGN0038243	11.2871477326713	0.404663121885968	1.10511456838798	0.366173004556665	0.71423598465766	0.838888853935306
FBGN0283468	1063.88809607548	-0.00562280871559405	0.128040267242816	-0.0439143781614491	0.964972654242203	0.980371823741291
FBGN0038598	10.790916640702	-0.0371852925410436	1.73046241407251	-0.0214886450226509	0.982855861332247	0.991040232086586
FBGN0038407	36.4267250437113	0.395599355901158	0.689737989477729	0.573550191429511	0.566272225376815	0.739826018781622
FBGN0038627	105.877825800728	-1.00736920762778	0.444442868577893	-2.26658875380566	0.0234153597392554	0.0797783745322474
FBGN0027654	11.8097408129743	-1.48805094261607	1.48496121506085	-1.00208067895908	0.316304628617413	0.513485119479122
FBGN0037236	646.858591738641	0.410483834197606	0.16404541132183	2.5022573377094	0.0123404190035173	0.0491874210602328
FBGN0003890	398.943472435521	1.33074002170861	0.571490330127655	2.32854337432334	0.019883268878135	0.0706648796641846
FBGN0000463	2597.46449675614	-0.443888608106649	0.209775196019059	-2.11602046633922	0.0343430669529658	0.106635222888959
FBGN0039761	0.657907933459423	0.25541208855086	3.8465346041922	0.0664005695600645	0.947058916762084	NA
FBGN0051415	2.24267413318387	-0.611149660046188	2.26467032623135	-0.269862528319169	0.787266016011589	NA
FBGN0037970	4.92039591386392	-0.937247348296987	1.79158929262396	-0.523137391005667	0.600878646907574	0.767039439370839
FBGN0051463	1.38317775094646	-1.70136632078653	2.29614995434852	-0.740964812670198	0.458714775707055	NA
FBGN0051077	3.0859549590469	-0.266525826680317	2.13177811115656	-0.125025125872841	0.900503658836237	NA
FBGN0037723	487.421714369771	0.397006264481058	0.206978476534434	1.91810410013821	0.055097812688851	0.150781776404138
FBGN0028374	5.4213508886489	-2.50264412934471	2.67360535019538	-0.936055925068309	0.34924439428412	0.54823247939949
FBGN0004622	2.28978050801056	-0.623817073595499	2.08067424744473	-0.299814867397724	0.764318374180381	NA
FBGN0053207	183.791603453865	-0.763080667339014	0.30825382211469	-2.47549458463843	0.0133051779491023	0.052272346096958
FBGN0038890	416.283603877693	-0.178931064162208	0.204678425746458	-0.874205786514384	0.382006195346258	0.578787851276903
FBGN0010770	638.541665728674	-0.125627415692423	0.198866638273235	-0.631716897229472	0.527571884670043	0.709099127651447
FBGN0046763	1408.50058355205	1.17704113162924	0.231074422437008	5.09377506699215	3.51003177324009e-07	7.67510468726091e-06
FBGN0038465	46.9389165532382	-0.826135000016708	0.782411164966683	-1.05588344978677	0.291021466277693	0.487862777772839
FBGN0038402	1.81588102614223	-2.99215011327615	2.12673617622973	-1.40692115304147	0.159450770351136	NA
FBGN0261108	437.798318538995	0.857235360563082	0.204125862986952	4.19954310550976	2.67454112677722e-05	0.000323550007739348
FBGN0039087	1.31595554952617	0.395276219542083	2.11917922984583	0.186523260503473	0.852034439674763	NA
FBGN0262605	0.947422120638488	0.941658350329814	3.72036785731467	0.253108936117273	0.800184033649067	NA
FBGN0263040	1.04903632689478	-1.72103238409468	2.72712155846944	-0.631080187368175	0.527988094966404	NA
FBGN0020907	21.3497406655822	-5.23991132821531	2.33412326082123	-2.24491628877033	0.024773507051773	0.0832486357096917
FBGN0038903	123.9310759982	-0.526287970235494	0.372515269157184	-1.41279569942521	0.157715803126787	0.31819855016808
FBGN0037472	371.116463676703	0.0315690493444882	0.201878239287076	0.156376682578434	0.875736115661304	0.935169313009864
FBGN0263977	2220.34528554032	0.122569207563124	0.132732589170248	0.923429643988276	0.355783349277441	0.554943385552472
FBGN0261060	0.221981206997041	0.0339252800584613	5.80917263418341	0.00583995040168576	0.9953404202245	NA
FBGN0015568	5.27805758922187	0.74003941976275	1.84020206041991	0.402151174417164	0.687572772871832	0.822526258782519
FBGN0011270	0.743368760197046	-1.28191844418287	3.54504374442256	-0.361608639159876	0.717644507858532	NA
FBGN0051116	9.30292066878057	-1.05646116783449	1.7479322571411	-0.604406242586555	0.54557358642077	0.722904403628659
FBGN0262577	303.276794516679	-8.89432587162046	1.97100798491727	-4.51257729024055	NA	NA
FBGN0039030	1.5440973819023	0.666219814081362	2.20746968816461	0.30180247441372	0.76280264447	NA
FBGN0053105	362.975026035426	-0.695760228695247	1.67124808768997	-0.416311757554163	0.677181890105785	0.816774479649797
FBGN0037516	0.205925658011577	-0.974178804857277	4.49671861791989	-0.216642153452758	0.828487232086075	NA
FBGN0051265	0.771873384649025	-2.07175512720109	3.72068859062868	-0.556820351055241	0.577650177845908	NA
FBGN0051163	2197.91384278323	0.0360402986766237	0.140243719797879	0.256983333931568	0.797191638724057	0.889535231757857
FBGN0039189	323.70511493498	-0.560542885164696	0.256854476182768	-2.18233644784074	0.0290847109184899	0.093972973363071
FBGN0039858	2749.31976664486	0.537084837313379	0.129388826802972	4.15093675848248	3.31117257055964e-05	0.00038845809187359
FBGN0261561	55.289700803438	0.0573329626977668	0.647081049827314	0.0886024443353228	0.929397865429214	0.963794718781326
FBGN0002905	1344.8095805692	-0.280737265822575	0.124262166656154	-2.25923362980948	0.0238688559420838	0.0809680965406082
FBGN0003676	5273.79978840609	0.29146797125071	0.102375562894993	2.84704633614245	0.00441269389897283	0.0220161990728076
FBGN0040629	1.00060587085977	1.67759858123178	2.68625893104165	0.624511122828081	0.532291967921315	NA
FBGN0038246	4.24573839165381	0.032349368554538	1.80693945686529	0.0179028513831106	0.98571635430466	0.992428430647202
FBGN0043005	2.51561566992054	-0.426241439103349	2.38094523953414	-0.179021941381041	0.857920473269404	NA
FBGN0038815	274.405690398472	-0.005472970567481	0.31644123882321	-0.0172953771380558	0.986200973562337	0.992770968532559
FBGN0015569	43.6327907250885	-0.289741972733602	0.577137452383478	-0.502032871956269	0.615644398198621	0.780514505407659
FBGN0038960	1.11723084254084	0.337782889239553	2.23164691543974	0.151360363909985	0.879691454195967	NA
FBGN0067317	0.315748885836109	-1.4303678537951	3.15333076597517	-0.45360539694375	0.650112868346081	NA
FBGN0039544	328.310475616747	-0.938528175710488	0.242077145788853	-3.87697968204359	0.000105761186358227	0.00105140389640009
FBGN0038356	0.184655786759915	-1.44024565985847	4.52450770865149	-0.318320964975818	0.750241483008709	NA
FBGN0051437	1.51501343060977	-1.76355347454999	2.17678159837007	-0.810165556282957	0.417845030670438	NA
FBGN0028400	14.6273210265678	-4.16850453865873	2.6973982618395	-1.54537970815478	0.122254445605776	0.267073208446952
FBGN0039233	377.62213074099	0.280080270075268	0.170808064659035	1.63973680419809	0.101059903007597	0.232908187412859
FBGN0288631	774.802089367461	0.520995705365498	0.151095472252778	3.44812255190472	0.000564497843240147	0.00423714537452213
FBGN0039225	3.72068783148709	-0.167388604960844	1.91572456160955	-0.0873761334563713	0.930372539553658	NA
FBGN0051327	2.74753037023866	-0.60647200410063	1.93082108822234	-0.314100569856005	0.753444656737791	NA
FBGN0261290	0.451654963249235	-1.25087336147591	2.79592100088288	-0.447392240725297	0.654591877213529	NA
