Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
FBGN0038542	3.82872967706801	0.562613791555032	2.24120929000612	0.251031349041703	0.801789872006108	NA
FBGN0039592	1.70720666832944	0.643932231465364	2.87296883309156	0.224134777951085	0.822652431904286	NA
FBGN0038067	0.97371922642383	-0.552631542098539	2.56075141964931	-0.215808351352675	0.829137138272559	NA
FBGN0039602	420.509775233152	-0.255922767616063	0.201505995603473	-1.27005038658835	0.204066682634244	0.571185460209764
FBGN0264897	0.189060958231235	-4.80958005207779	6.13290764272443	-0.784225090652306	0.432908045122092	NA
FBGN0038565	2.33243594365899	0.26750811667836	3.01292210253477	0.0887869342699916	0.929251241620923	NA
FBGN0039331	2.4598141738704	1.37005651530174	2.13681555777743	0.641167418645517	0.521413915521828	NA
FBGN0019972	1047.70178996373	0.239703213560763	0.124878857496239	1.91948595916632	0.0549228615599959	0.312151716048562
FBGN0046873	0.25472462825465	0.415985697983089	5.92248315993151	0.0702383927061938	0.944003916808	NA
FBGN0038756	2.40447401731734	1.47603994337138	3.1927809434858	0.462305422607502	0.643862311520651	NA
FBGN0039627	327.051386868081	-0.0273835264750101	0.191603232556166	-0.142917873094771	0.886355042788162	0.968322598158117
FBGN0039436	2.8301160694679	0.387760256066125	2.16023220634036	0.179499340361668	0.85754563523361	NA
FBGN0051092	2394.96512377719	-0.0803252840372811	0.116578061904565	-0.689025728554646	0.49080707680515	0.796574456100851
FBGN0039089	5.32710047069266	3.25437296968564	2.18253584722745	1.4910971445531	0.135935991914806	NA
FBGN0064119	2.75761258221437	-0.522991168586554	2.22210759785957	-0.23535816586484	0.813930752925564	NA
FBGN0250820	338.031579059231	0.0297575664832872	0.250112778792957	0.118976593786599	0.905293899499492	0.973214228356304
FBGN0284229	0.00903214740094468	0.783798127694916	6.23277661008454	0.125754246739205	0.899926459974657	NA
FBGN0038886	2.31856949635912	-1.0183477299436	2.32838632985284	-0.43736201200252	0.661848829318405	NA
FBGN0038243	12.4431837636495	0.634264627093595	1.09021740026143	0.58177811777862	0.560716145227004	0.839748406656811
FBGN0283468	1205.80125329879	0.0157637171414062	0.139291792247287	0.113170466738059	0.909895409345734	0.974642747567683
FBGN0038598	14.1844081929363	0.967911174143506	1.78028528827553	0.543683184104202	0.586659506112221	0.85420385773849
FBGN0038407	29.9411153153833	0.640923149044777	0.751466563957151	0.852896429176751	0.393716742081554	0.737518513789336
FBGN0038627	77.9498217258654	-0.217129209349997	0.445788984258733	-0.487067238126226	0.62621068258717	0.870923482827892
FBGN0027654	9.64487154527784	-0.343486652217393	1.55642745478916	-0.220689150117776	0.825334480137983	0.946754542972437
FBGN0037236	889.006390297142	0.0285922476958141	0.160783073384139	0.177831205076558	0.85885553982309	0.958500476403269
FBGN0003890	438.684802356344	-2.02382199077742	0.301893245155748	-6.70376705425562	2.03113968395284e-11	5.0680012598993e-09
FBGN0000463	2867.80359453801	-0.000438165839678486	0.0956357122340493	-0.00458161318029569	0.996344414369051	0.999625351063475
FBGN0039761	0.540578215751553	-0.0215230486981646	3.38703696125447	-0.00635453611648602	0.994929847863848	NA
FBGN0051415	2.24648717280175	-0.480814937797943	2.41103928614075	-0.199422274270597	0.841932438052303	NA
FBGN0037970	5.966777465231	-0.195908807965838	1.88359701644495	-0.104007813908939	0.917163147602202	NA
FBGN0051463	1.69547194340188	-0.882606228943105	2.49063975649243	-0.354369284695785	0.723062150235963	NA
FBGN0051077	2.57220527329612	-0.694670417254041	2.26022873796053	-0.307345183957294	0.758580647018491	NA
FBGN0037723	654.425536137685	-0.121128970853185	0.185274703219012	-0.653780406869683	0.513253291345761	0.810690121032227
FBGN0028374	0.518026003011783	1.06422767904075	4.98943235284108	0.213296343908694	0.831095825082108	NA
FBGN0004622	2.28835873021639	-0.508138180601884	3.02797002462866	-0.167814798848347	0.86672897981112	NA
FBGN0053207	246.796300582943	-0.515009188897996	0.292095122624305	-1.76315572910269	0.0778742281417679	0.371935263642295
FBGN0038890	441.931861741911	-0.0859011858255745	0.210052391327957	-0.408951239652664	0.682575444957898	0.893721204661907
FBGN0010770	661.141566817771	0.0353994629198753	0.18179862708867	0.194717988176058	0.845613728923633	0.953153106633428
FBGN0046763	1620.10681288354	-0.459312993319772	0.149812881341979	-3.06591121674842	0.00217007742001139	0.0460635656075933
